name,value
pi,3.141592653589793
phi,1.618033988749895
gamma,0.012345679012345678
delta_star,0.1475108101595796
Delta_delta_analytic,-0.00035959042756760504
R_alpha_analytic,0.03380535602328556
C_mass_analytic,4.446800183122003
R_mass_analytic,-2.4299997428893794
chi_star,1.8299591167176656
A_geom,8.882808146615757
B_geom,-1.8299591167176656
mu_c_rg_analytic,197.23311928918338
p_rg_analytic,2.7666387974842737
mu_c_target,197.24
p_target,2.766667
delta_IR,0.15
delta_EW,0.1497368232
delta_UV,0.1475108101595796
